City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,New Norfolk,AU,-42.7826,147.0587,53.65,91,100,2.98,overcast clouds
80,Melilla,ES,35.2937,-2.9383,79.0,47,0,11.5,clear sky
81,Yining,CN,29.0361,114.5636,76.26,98,100,1.81,overcast clouds
82,Paciran,ID,-6.8767,112.3761,77.88,85,100,4.72,overcast clouds
83,Norman Wells,CA,65.282,-126.8329,66.24,48,20,6.91,few clouds
84,Kapaa,US,22.0752,-159.319,81.19,83,40,11.5,light rain
85,Mirnyy,RU,62.5353,113.9611,53.65,82,48,4.81,light rain
86,Lebu,CL,-37.6167,-73.65,56.53,66,11,3.62,few clouds
87,Olafsvik,IS,64.8945,-23.7142,42.84,65,99,12.5,overcast clouds
88,Mercedes,AR,-34.6515,-59.4307,53.85,45,27,6.22,scattered clouds
89,Cayenne,GF,4.9333,-52.3333,82.44,87,75,3.0,light rain
90,Mar Del Plata,AR,-38.0023,-57.5575,50.0,67,40,3.0,scattered clouds
91,Beidao,CN,34.5686,105.8933,55.13,89,97,1.63,overcast clouds
92,Sistranda,NO,63.7256,8.834,53.91,94,100,5.57,light rain
93,Chokurdakh,RU,70.6333,147.9167,40.32,68,69,9.75,broken clouds
94,Pospelikha,RU,51.95,81.7667,67.08,68,15,4.85,few clouds
95,Barrow,US,71.2906,-156.7887,48.22,71,1,11.5,clear sky
96,Rocha,UY,-34.4833,-54.3333,50.59,73,100,10.42,overcast clouds
97,Ust-Uda,RU,54.1742,103.0304,50.32,79,3,2.91,clear sky
98,Sola,VU,-13.8833,167.55,80.46,79,13,15.32,few clouds
99,Atuona,PF,-9.8,-139.0333,79.12,72,12,25.03,few clouds
100,Guthrie,US,35.8789,-97.4253,97.45,46,1,10.36,clear sky
101,Shakawe,BW,-18.3667,21.85,61.92,25,0,3.85,clear sky
102,Batagay-Alyta,RU,67.8006,130.4114,57.67,58,35,2.53,scattered clouds
103,Iqaluit,CA,63.7506,-68.5145,35.33,87,75,13.0,broken clouds
104,Dondo,MZ,-19.6094,34.7431,69.31,87,0,6.85,clear sky
105,Thompson,CA,55.7435,-97.8558,48.36,93,75,9.22,broken clouds
106,Fairbanks,US,64.8378,-147.7164,57.09,94,90,3.44,moderate rain
107,Raigarh,IN,21.9,83.4,75.67,90,87,10.09,overcast clouds
