City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mozarlandia,BR,2021-06-14 19:50:41,-14.7447,-50.5706,89.2,35,92,2.75
68,College,US,2021-06-14 19:46:22,64.8569,-147.8028,74.08,46,20,6.91
69,Tiznit,MA,2021-06-14 19:50:41,29.5833,-9.5,65.91,71,0,5.21
70,Barra,BR,2021-06-14 19:50:42,-11.0894,-43.1417,84.16,45,54,7.78
71,Bluff,NZ,2021-06-14 19:50:42,-46.6,168.3333,46.8,96,100,8.08
72,Waingapu,ID,2021-06-14 19:50:43,-9.6567,120.2641,73.71,86,67,6.49
73,Cockburn Town,TC,2021-06-14 19:50:43,21.4612,-71.1419,80.87,83,100,18.63
74,Lashio,MM,2021-06-14 19:50:43,22.9333,97.75,69.67,96,100,2.44
75,Torbay,CA,2021-06-14 19:50:44,47.6666,-52.7314,59.76,75,20,8.05
76,Narsaq,GL,2021-06-14 19:50:44,60.9167,-46.05,43.61,71,23,7.18
77,Mahebourg,MU,2021-06-14 19:50:44,-20.4081,57.7,72.25,88,40,10.36
78,Kawalu,ID,2021-06-14 19:50:45,-7.3817,108.2082,73.63,96,98,1.59
79,Qeshm,IR,2021-06-14 19:50:45,26.9581,56.2719,91.27,74,7,10.25
80,Clausthal-Zellerfeld,DE,2021-06-14 19:48:34,51.8,10.3333,65.7,69,96,1.01
81,Sorrento,IT,2021-06-14 19:50:46,40.626,14.3744,74.75,70,40,4.61
82,Norman Wells,CA,2021-06-14 19:50:46,65.282,-126.8329,53.64,71,75,6.91
83,San Patricio,US,2021-06-14 19:50:47,28.017,-97.5169,95.09,48,9,5.88
84,Nikolskoye,RU,2021-06-14 19:50:47,59.7035,30.7861,57.09,70,92,4.76
85,Puerto Escondido,MX,2021-06-14 19:50:47,15.85,-97.0667,86.83,70,75,8.05
86,Port Alfred,ZA,2021-06-14 19:50:48,-33.5906,26.891,61.65,89,30,6.82
87,Pakokku,MM,2021-06-14 19:50:48,21.3333,95.1,80.33,79,95,16.73
88,Castro,BR,2021-06-14 19:50:48,-24.7911,-50.0119,59.88,65,0,2.08
89,Tautira,PF,2021-06-14 19:50:49,-17.7333,-149.15,80.62,80,25,17.27
90,Bogorodsk,RU,2021-06-14 19:50:49,56.1033,43.5158,60.98,84,53,2.8
91,Qaanaaq,GL,2021-06-14 19:50:50,77.484,-69.3632,35.13,84,5,1.5
92,Handan,CN,2021-06-14 19:50:50,36.6006,114.4678,76.86,81,3,10.8
93,Osecina,RS,2021-06-14 19:50:50,44.3731,19.6014,54.46,90,72,4.29
94,Port Keats,AU,2021-06-14 19:50:51,-14.25,129.55,68.67,62,95,2.15
95,Jamestown,US,2021-06-14 19:46:11,42.097,-79.2353,70.3,63,75,3.44
96,Atuona,PF,2021-06-14 19:50:51,-9.8,-139.0333,78.66,79,59,19.75
97,Thompson,CA,2021-06-14 19:50:51,55.7435,-97.8558,62.76,59,40,3.44
98,Souillac,MU,2021-06-14 19:50:52,-20.5167,57.5167,72.36,88,40,10.36
99,Korostyshiv,UA,2021-06-14 19:50:52,50.3172,29.0563,59.63,91,4,4.92
100,Dunedin,NZ,2021-06-14 19:50:53,-45.8742,170.5036,47.8,97,99,1.99
101,Myanaung,MM,2021-06-14 19:50:53,18.2833,95.3167,77.13,91,100,10.58
102,Gore,NZ,2021-06-14 19:50:53,-46.1028,168.9436,46.22,98,100,0.83
103,Praia Da Vitoria,PT,2021-06-14 19:50:54,38.7333,-27.0667,75.45,69,40,4.81
104,East London,ZA,2021-06-14 19:50:54,-33.0153,27.9116,62.67,86,30,6.82
105,Cayenne,GF,2021-06-14 19:50:54,4.9333,-52.3333,87.84,78,0,5.01
106,Cornwall,CA,2021-06-14 19:50:01,45.0181,-74.7281,78.04,68,75,4.61
107,Ancud,CL,2021-06-14 19:50:55,-41.8697,-73.8203,50.43,68,5,8.21
108,Longyearbyen,SJ,2021-06-14 19:50:55,78.2186,15.6401,33.64,75,75,6.91
109,Tuktoyaktuk,CA,2021-06-14 19:50:55,69.4541,-133.0374,41.0,81,40,6.91
110,Sao Felix Do Xingu,BR,2021-06-14 19:50:56,-6.6447,-51.995,86.32,51,67,3.4
111,Bredasdorp,ZA,2021-06-14 19:50:56,-34.5322,20.0403,55.27,93,0,0.0
112,Helena,US,2021-06-14 19:50:56,46.5927,-112.0361,100.17,28,1,5.99
113,Atasu,KZ,2021-06-14 19:50:57,48.6814,71.6433,66.47,50,70,9.95
114,Chokurdakh,RU,2021-06-14 19:50:57,70.6333,147.9167,50.2,69,94,9.42
115,Albany,US,2021-06-14 19:50:58,42.6001,-73.9662,69.31,89,94,1.01
116,Asau,RO,2021-06-14 19:50:58,46.4333,26.4,57.4,82,100,4.38
117,Sechura,PE,2021-06-14 19:50:59,-5.5569,-80.8222,74.05,69,18,15.05
118,Padang,ID,2021-06-14 19:50:59,-0.9492,100.3543,77.59,86,96,3.6
